changing_M_i_at_271.0,changing_M_i_at_283.0,changing_M_i_at_300.0
0.0,0.0,0.0
835.3643243396458,835.3425390967188,835.3146773927263
825.1339439001949,825.109832147728,825.0790093101941
814.0855069448874,814.0582484596596,814.0242212465005
802.246733407795,802.2008055581872,802.167380928491
789.9488796415261,789.6509582369805,789.6631977373154
780.1911894000691,779.5044008485988,779.4339979908829
773.8494638020918,812.6315440668817,810.1554654935624
924.2038966128335,785.8321255180344,706.9102200447994
1290.1247825963262,317.7128295331597,340.4386343571931
1573.2244971912503,280.98247022686326,284.02333742359315
306.48731089425024,865.9318827852504,283.9497919716469
407.9397639119346,352.47754574820976,1676.1750235072352
374.9377487713513,383.096193456229,209.49001087241442
448.28083723845975,342.8355983632935,1219.2470522404283
231.87576992098823,459.76770667594286,199.05812303205275
853.0295393421987,227.98101200891605,1217.5132276061718
201.06903627620625,690.4745375621641,201.00743958705476
1284.834337743148,200.9472439872873,1104.800752330805
237.1652748151053,777.1366138925413,207.7004779084356
1004.3236197379576,218.74843268605548,632.9024159730119
252.6115552514758,485.11729817453664,327.9060962863979
509.1822678975464,385.4113044400144,368.7364003975483
373.6910044430736,376.0313871278544,369.5474325991464
349.6249546053232,349.3127190261833,348.77965925611954
330.3522854105464,330.0082606981999,329.56695381695425
314.61686666829297,314.2912720737718,313.87515219076806
301.7007533967506,301.39385699290955,301.00182673988616
290.98160637369205,290.6918308836181,290.32179196227287
281.9726999799807,281.6980937734433,281.3475088070131
274.30644766977093,274.0451142675417,273.71153259855544
267.7072098687954,267.4574561677974,267.1386971115259
261.9672004217014,261.72756735657265,261.42175556824213
256.9281082704253,256.6973564273838,256.40290116367584
252.46778147435165,252.24486260043784,251.96041986855778
248.49072941990977,248.2747562816539,247.99918943247692
244.92134936264773,244.7115684720074,244.44391279162838
241.6990614711641,241.49482990422493,241.23426263910008
238.7747779701565,238.5755442161287,238.32135987398397
236.1083100450683,235.9135983845111,235.66518862375227
233.6664400634639,233.4758378838035,233.23267520643998
231.4214710426691,231.234618540214,230.9962430667197
229.35012246771984,229.1667042671597,228.93271298280504
227.4326804248391,227.2524187329652,227.02245670876317
225.652336621722,225.474985608439,225.24873879988098
223.9946692529614,223.8200104161433,223.5971997256032
222.4472315092012,222.2750698310074,222.05544618595266
220.9992225923443,220.82938333497123,220.61272358637152
219.6412225673824,219.4735485879244,219.2596520741529
218.36497704579628,218.19932653462584,217.98801218807432
217.1632210946269,216.9994656610804,216.7905695596538
216.0295342666965,215.8675573110132,215.6609305961742
214.9582205057845,214.79791582815804,214.59342292650442
213.94420807381803,213.78547868081552,213.58299577825426
212.9829657005431,212.8257227765928,212.62513650371412
212.07043195939605,211.91459397695888,211.71580027183003
211.20295549034304,211.04844743711985,210.85135055775865
210.3772441682238,210.2239968735521,210.02850853724644
209.5903216874513,209.43827123310257,209.24430986364337
208.8394903261876,208.6885775292732,208.49606759637823
208.12229888393568,207.9724688416438,207.78134027941195
207.43651496987428,207.28771665742863,207.09790435081393
206.78010096575213,206.63228688032507,206.4437302103483
206.1511931051564,206.00431894960727,205.81696138945438
205.5480832058313,205.40210760706384,205.21589636241484
204.96920266928527,204.82408692679115,204.63897261472243
204.41310842468303,204.2688162854826,204.08475264708593
203.87847054585905,203.734968002593,203.55191164517333
203.36406131276573,203.22131642214845,203.0392265874298
202.86874552372973,202.72672824295336,202.5455665982088
202.3914718941847,202.2501539331895,202.06988438264025
201.93126540183485,201.7906200896411,201.61120860381322
201.48722045838065,201.347222621907,201.16863708293187
201.05849480530136,200.91912065930157,200.74133072041545
200.6443040451888,200.5055310921027,200.3285080498084
200.2439167325904,200.1057236712605,199.92944034880514
199.8566499583886,199.71901660071904,199.5434472417174
199.48186537062324,199.34477256536485,199.16989273651822
199.1189655820467,198.9823951449914,198.80818164699076
198.76739092110537,198.63132557105504,198.4577563568579
198.42661648854445,198.2910397884917,198.11809388824713
198.0961494864722,197.9610457894882,197.7887032414782
197.7755267908254,197.64088119021687,197.4691229772443
197.46431274165303,197.33011102498443,197.15891901569353
197.16209712868732,197.0283257353201,196.85768263000818
196.86849335229755,196.7351393341233,196.56502861463068
196.58313674218007,196.450187727268,196.28059361058686
196.3056830182401,196.17312717714069,196.00403457241148
196.0358068797033,195.90363289417925,195.7350273627916
195.7732007102127,195.6413977441927,195.47326546271535
195.5175733878364,195.38613106040032,195.21845878611134
195.26864919019977,195.13755755043024,194.97033258922627
195.0261667859875,194.8954162895369,194.7286264660284
194.7898783048904,194.65945979211935,194.49309342173925
194.5595484790056,194.429453154574,194.263499017533
194.33495384931408,194.20517326310755,194.0396205800551
194.11588203154565,193.98640806083276,193.82124647009312
193.90213103631143,193.7729558690409,193.60817540529948
193.693508638844,193.5646247579937,193.40021583232507
193.48983179417905,193.36123196307628,193.19718534421898
193.29092609398185,193.1626033425291,192.99891013930508
