Ci,t_convergence (weeks)
4.5,63.5
9.0,36.85
13.5,25.0
18.0,23.0
22.5,20.75
27.0,14.850000000000001
31.5,12.9
36.0,12.5
40.5,12.15
45.0,11.8
49.5,11.450000000000001
54.0,11.100000000000001
58.5,10.75
63.0,10.4
67.5,10.05
72.0,9.75
76.5,9.4
81.0,9.1
85.5,8.8
90.0,8.5
94.5,8.200000000000001
99.0,7.9
103.5,7.6000000000000005
108.0,7.25
112.5,7.050000000000001
117.0,7.050000000000001
121.5,7.0
126.0,7.0
130.5,7.0
135.0,7.0
139.5,7.0
144.0,7.0
148.5,6.95
153.0,6.95
157.5,7.0
162.0,7.0
166.5,7.0
171.0,7.0
175.5,7.0
180.0,7.0
184.5,7.0
189.0,7.050000000000001
193.5,7.050000000000001
198.0,7.1000000000000005
202.5,7.1000000000000005
207.0,7.1000000000000005
211.5,7.15
216.0,7.15
220.5,7.15
225.0,7.2
229.5,7.2
234.0,7.2
238.5,7.2
243.0,7.2
247.5,7.25
252.0,7.25
256.5,7.25
261.0,7.25
265.5,7.25
270.0,7.25
274.5,7.25
279.0,7.25
283.5,7.25
288.0,7.25
292.5,7.25
297.0,7.25
301.5,7.300000000000001
306.0,7.300000000000001
310.5,7.300000000000001
315.0,7.300000000000001
319.5,7.300000000000001
324.0,7.300000000000001
328.5,7.300000000000001
333.0,7.300000000000001
337.5,7.300000000000001
342.0,7.300000000000001
346.5,7.300000000000001
351.0,7.25
355.5,7.25
360.0,7.25
364.5,7.25
369.0,7.25
373.5,7.25
378.0,7.25
382.5,7.25
387.0,7.25
391.5,7.25
396.0,7.300000000000001
400.5,7.300000000000001
405.0,7.300000000000001
409.5,7.300000000000001
414.0,7.300000000000001
418.5,7.25
423.0,7.25
427.5,7.25
432.0,7.25
436.5,7.25
441.0,7.25
445.5,7.25
450.0,7.25
