Di,t_convergence (weeks)
0.0,74.65
1.0,73.85000000000001
2.0,67.5
3.0,63.45
4.0,62.5
5.0,61.550000000000004
6.0,61.0
7.0,60.6
8.0,60.25
9.0,59.95
10.0,59.75
11.0,59.550000000000004
12.0,59.400000000000006
13.0,59.300000000000004
14.0,59.2
15.0,59.1
16.0,59.0
17.0,58.95
18.0,58.900000000000006
19.0,58.800000000000004
20.0,58.800000000000004
21.0,58.75
22.0,58.7
23.0,58.650000000000006
24.0,58.650000000000006
25.0,58.6
26.0,58.6
27.0,58.550000000000004
28.0,58.550000000000004
29.0,58.5
30.0,58.5
31.0,58.5
32.0,58.45
33.0,58.45
34.0,58.45
35.0,58.45
36.0,58.400000000000006
37.0,58.400000000000006
38.0,58.400000000000006
39.0,58.400000000000006
40.0,58.400000000000006
41.0,58.400000000000006
42.0,58.400000000000006
43.0,58.400000000000006
44.0,58.35
45.0,58.35
46.0,58.35
47.0,58.35
48.0,58.35
49.0,58.35
50.0,58.35
51.0,58.35
52.0,58.35
53.0,58.35
54.0,58.35
55.0,58.35
56.0,58.35
57.0,58.35
58.0,58.35
59.0,58.35
60.0,58.35
61.0,58.35
62.0,58.35
63.0,58.300000000000004
64.0,58.300000000000004
65.0,58.300000000000004
66.0,58.300000000000004
67.0,58.300000000000004
68.0,58.300000000000004
69.0,58.300000000000004
70.0,58.300000000000004
71.0,58.35
72.0,58.35
73.0,58.35
74.0,58.400000000000006
75.0,58.45
76.0,58.400000000000006
77.0,58.35
78.0,58.35
79.0,58.35
80.0,58.400000000000006
81.0,58.45
82.0,58.45
83.0,58.5
84.0,58.550000000000004
85.0,58.550000000000004
86.0,58.6
87.0,58.650000000000006
88.0,58.650000000000006
89.0,58.7
90.0,58.75
91.0,58.85
92.0,58.800000000000004
93.0,58.85
94.0,58.900000000000006
95.0,58.900000000000006
96.0,58.95
97.0,59.0
98.0,59.050000000000004
99.0,59.1
