Mi,t_convergence (weeks)
0.0,327.65000000000003
1000.0,77.2
2000.0,93.05000000000001
3000.0,111.60000000000001
4000.0,145.4
5000.0,211.65
6000.0,332.65000000000003
54000.0,389.8
55000.0,388.35
56000.0,386.95000000000005
57000.0,385.65000000000003
58000.0,384.40000000000003
59000.0,383.20000000000005
60000.0,382.05
61000.0,380.95000000000005
62000.0,379.90000000000003
63000.0,378.90000000000003
64000.0,377.90000000000003
65000.0,377.0
66000.0,376.1
67000.0,375.25
68000.0,374.40000000000003
69000.0,373.6
70000.0,372.85
71000.0,372.1
72000.0,371.35
73000.0,370.70000000000005
74000.0,370.0
75000.0,369.35
76000.0,368.75
77000.0,368.15000000000003
78000.0,367.55
79000.0,366.95000000000005
80000.0,366.40000000000003
81000.0,365.90000000000003
82000.0,365.35
83000.0,364.85
84000.0,364.35
85000.0,363.90000000000003
86000.0,363.40000000000003
87000.0,362.95000000000005
88000.0,362.55
89000.0,362.1
90000.0,361.70000000000005
91000.0,361.3
92000.0,360.90000000000003
93000.0,360.5
94000.0,360.1
95000.0,359.75
96000.0,359.40000000000003
97000.0,359.05
98000.0,358.70000000000005
99000.0,358.35
100000.0,358.05
